월(Monthly),LEVEL1,LEVEL2,LEVEL3,값,증감,증감율,구성비,누계,누계구성비
2007-04,연면적별,용도별,교육및사회,1091710,1091710,1091710,0,0,0
2007-04,연면적별,용도별,기타,1349967,1349967,1349967,0,0,0
2007-06,동수별,합계,합계,15436,15436,15436,0,0,0
2007-06,동수별,구조별,철근및철골조,13216,13216,13216,0,0,0
2007-06,동수별,구조별,조적조,1538,1538,1538,0,0,0
2007-06,동수별,구조별,목조,564,564,564,0,0,0
2007-06,동수별,구조별,기타,118,118,118,0,0,0
2007-06,동수별,용도별,주거용,5484,5484,5484,0,0,0
2007-06,동수별,용도별,상업용,4175,4175,4175,0,0,0
2007-06,동수별,용도별,공업용,2027,2027,2027,0,0,0
2007-06,동수별,용도별,교육및사회,633,633,633,0,0,0
2007-06,동수별,용도별,기타,3117,3117,3117,0,0,0
2007-06,연면적별,합계,합계,9830530,9830530,9830530,0,0,0
2007-06,연면적별,구조별,철근및철골조,9655064,9655064,9655064,0,0,0
2007-06,연면적별,구조별,조적조,121468,121468,121468,0,0,0
2007-06,연면적별,구조별,목조,46513,46513,46513,0,0,0
2007-06,연면적별,구조별,기타,7485,7485,7485,0,0,0
2007-06,연면적별,용도별,주거용,4551073,4551073,4551073,0,0,0
2007-06,연면적별,용도별,상업용,1963026,1963026,1963026,0,0,0
2007-06,연면적별,용도별,공업용,1192461,1192461,1192461,0,0,0
2007-06,연면적별,용도별,교육및사회,598749,598749,598749,0,0,0
2007-06,연면적별,용도별,기타,1525221,1525221,1525221,0,0,0
2007-07,동수별,합계,합계,14355,14355,14355,0,0,0
2007-07,동수별,구조별,철근및철골조,12265,12265,12265,0,0,0
2007-07,동수별,구조별,조적조,1470,1470,1470,0,0,0
2007-07,동수별,구조별,목조,505,505,505,0,0,0
2007-07,동수별,구조별,기타,115,115,115,0,0,0
2007-07,동수별,용도별,주거용,4823,4823,4823,0,0,0
2007-07,동수별,용도별,상업용,3905,3905,3905,0,0,0
2007-07,동수별,용도별,공업용,1796,1796,1796,0,0,0
2007-07,동수별,용도별,교육및사회,754,754,754,0,0,0
2007-07,동수별,용도별,기타,3077,3077,3077,0,0,0
2007-07,연면적별,합계,합계,7932958,7932958,7932958,0,0,0
2007-07,연면적별,구조별,철근및철골조,7778247,7778247,7778247,0,0,0
2007-07,연면적별,구조별,조적조,110001,110001,110001,0,0,0
2007-07,연면적별,구조별,목조,38973,38973,38973,0,0,0
2007-07,연면적별,구조별,기타,5737,5737,5737,0,0,0
2007-07,연면적별,용도별,주거용,2829100,2829100,2829100,0,0,0
2007-07,연면적별,용도별,상업용,2040280,2040280,2040280,0,0,0
2007-07,연면적별,용도별,공업용,1330944,1330944,1330944,0,0,0
2007-07,연면적별,용도별,교육및사회,568347,568347,568347,0,0,0
2007-07,연면적별,용도별,기타,1164287,1164287,1164287,0,0,0
2007-08,동수별,합계,합계,14844,14844,14844,0,0,0
