기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	구내이동	구내이동	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	전입(①)	전출(②)	전입(③)	전출(④)	전입(⑤)	전출(⑥)
2010	마포구	서강동	6,183	5,715	1,692	1,506	2,540	2,252	1,951	1,957
2010	마포구	공덕동	5,529	6,326	726	950	3,260	3,429	1,543	1,947
2010	마포구	아현동	2,808	3,261	595	767	1,424	1,514	789	980
2010	양천구	소계	75,105	84,099	24,256	24,256	29,024	31,040	21,825	28,803
2010	양천구	목1동	4,878	5,106	1,444	1,337	2,045	2,120	1,389	1,649
2010	양천구	목2동	5,600	5,927	1,519	1,427	2,455	2,389	1,626	2,111
2010	양천구	목3동	4,130	4,743	1,146	1,132	1,998	2,074	986	1,537
2010	양천구	목4동	4,786	5,170	1,670	1,477	1,842	2,110	1,274	1,583
2010	양천구	신월1동	3,988	4,563	1,013	953	1,821	1,894	1,154	1,716
2010	양천구	신월2동	3,051	5,603	1,351	2,612	890	1,490	810	1,501
2010	양천구	신월3동	3,142	3,499	791	772	1,195	1,130	1,156	1,597
2010	양천구	신월4동	3,300	2,787	1,682	1,050	793	720	825	1,017
2010	양천구	신월5동	2,829	2,886	562	465	1,430	1,293	837	1,128
2010	양천구	신월6동	1,802	2,707	854	1,107	415	652	533	948
2010	양천구	신월7동	3,618	3,974	1,290	1,125	1,097	1,165	1,231	1,684
2010	양천구	신정1동	3,397	3,910	1,383	1,540	990	1,261	1,024	1,109
2010	양천구	신정2동	2,983	3,228	918	975	1,205	1,203	860	1,050
2010	양천구	신정3동	7,210	8,135	2,595	2,287	2,608	2,911	2,007	2,937
2010	양천구	신정6동	3,621	3,995	1,402	1,377	1,191	1,376	1,028	1,242
2010	양천구	신정7동	4,846	4,704	1,502	1,298	2,026	1,835	1,318	1,571
2010	양천구	목5동	5,645	6,329	1,235	1,578	2,592	2,845	1,818	1,906
2010	양천구	신정4동	6,279	6,833	1,899	1,744	2,431	2,572	1,949	2,517
2010	강서구	소계	91,718	100,863	31,280	31,280	32,584	30,988	27,854	38,595
2010	강서구	염창동	5,718	5,475	1,579	1,075	2,491	2,216	1,648	2,184
2010	강서구	등촌1동	4,168	4,251	1,256	1,420	1,501	1,310	1,411	1,521
2010	강서구	등촌2동	3,556	3,744	876	835	1,751	1,611	929	1,298
2010	강서구	등촌3동	4,285	4,952	1,155	1,354	1,737	1,716	1,393	1,882
2010	강서구	화곡본동	7,005	7,739	2,336	2,447	2,615	2,260	2,054	3,032
2010	강서구	화곡2동	4,025	4,328	1,466	1,613	1,523	1,240	1,036	1,475
2010	강서구	화곡3동	3,841	4,239	1,607	1,445	1,202	1,387	1,032	1,407
2010	강서구	화곡4동	3,955	4,375	1,118	1,191	1,779	1,684	1,058	1,500
2010	강서구	화곡6동	4,595	4,947	1,665	1,689	1,495	1,411	1,435	1,847
2010	강서구	화곡8동	4,970	5,582	1,809	1,830	1,917	1,688	1,244	2,064
2010	강서구	가양1동	2,862	3,477	1,105	1,082	865	946	892	1,449
2010	강서구	가양2동	2,431	2,812	648	887	1,039	899	744	1,026
2010	강서구	가양3동	2,574	3,149	658	863	1,118	1,042	798	1,244
2010	강서구	발산1동	5,230	5,557	2,118	1,774	1,609	1,685	1,503	2,098
2010	강서구	공항동	4,126	4,522	1,371	1,318	1,085	965	1,670	2,239
2010	강서구	방화1동	4,874	5,772	2,244	2,264	1,042	1,210	1,588	2,298
2010	강서구	방화2동	3,846	4,613	1,529	1,689	960	992	1,357	1,932
2010	강서구	방화3동	3,768	4,395	1,471	1,447	983	1,032	1,314	1,916
2010	강서구	화곡1동	9,275	9,446	2,479	2,191	3,955	3,541	2,841	3,714
2010	강서구	우장산동	6,614	7,488	2,790	2,866	1,917	2,153	1,907	2,469
2010	구로구	소계	63,011	69,935	15,824	15,824	23,408	21,730	23,779	32,381
2010	구로구	신도림동	4,957	5,303	786	600	2,411	2,340	1,760	2,363
2010	구로구	구로1동	3,017	3,414	420	388	1,399	1,248	1,198	1,778
2010	구로구	구로3동	6,036	6,358	926	970	2,480	2,579	2,630	2,809
2010	구로구	구로4동	4,319	5,218	1,272	1,417	1,619	1,725	1,428	2,076
2010	구로구	구로5동	4,845	5,707	831	1,181	2,281	2,083	1,733	2,443
2010	구로구	고척1동	3,423	3,700	1,033	1,016	1,216	1,096	1,174	1,588
2010	구로구	고척2동	4,739	4,727	1,638	1,437	1,806	1,402	1,295	1,888
2010	구로구	개봉2동	4,785	5,510	1,359	1,130	1,391	1,461	2,035	2,919
2010	구로구	개봉3동	3,145	3,702	940	867	831	673	1,374	2,162
2010	구로구	오류1동	3,253	3,646	1,033	1,044	992	922	1,228	1,680
2010	구로구	오류2동	3,892	4,590	874	874	1,232	1,146	1,786	2,570
2010	구로구	수궁동	4,704	3,561	1,079	767	1,729	885	1,896	1,909
2010	구로구	가리봉동	1,897	2,547	406	597	713	897	778	1,053
2010	구로구	구로2동	5,101	5,929	1,594	1,565	1,749	1,812	1,758	2,552
2010	구로구	개봉1동	4,898	6,023	1,633	1,971	1,559	1,461	1,706	2,591
2010	금천구	소계	37,595	43,034	11,144	11,144	12,195	10,883	14,256	21,007
2010	금천구	가산동	4,185	4,215	500	703	1,590	1,430	2,095	2,082
2010	금천구	독산1동	6,075	6,945	918	968	1,984	1,651	3,173	4,326
2010	금천구	독산2동	3,489	4,066	1,459	1,415	985	857	1,045	1,794
2010	금천구	독산3동	4,363	4,816	1,003	1,120	2,012	1,758	1,348	1,938
2010	금천구	독산4동	3,095	3,547	1,295	1,313	937	817	863	1,417
2010	금천구	시흥1동	4,967	5,865	1,811	1,763	1,293	1,282	1,863	2,820
2010	금천구	시흥2동	3,139	3,739	809	724	1,285	1,155	1,045	1,860
2010	금천구	시흥3동	1,619	1,874	435	322	485	332	699	1,220
2010	금천구	시흥4동	3,465	4,116	1,511	1,410	843	897	1,111	1,809
2010	금천구	시흥5동	3,198	3,851	1,403	1,406	781	704	1,014	1,741
2010	영등포구	소계	66,644	75,966	16,966	16,966	27,301	31,105	22,377	27,895
2010	영등포구	여의동	4,521	4,782	387	392	2,668	2,667	1,466	1,723
2010	영등포구	당산1동	4,911	4,185	1,422	906	1,896	1,728	1,593	1,551
2010	영등포구	당산2동	6,213	6,105	1,170	1,244	2,840	2,646	2,203	2,215
2010	영등포구	양평1동	2,955	3,244	680	728	1,317	1,372	958	1,144
2010	영등포구	양평2동	3,459	3,722	563	614	1,713	1,699	1,183	1,409
2010	영등포구	신길1동	4,215	4,175	1,174	1,025	1,618	1,558	1,423	1,592
2010	영등포구	신길3동	2,514	3,186	1,255	1,080	622	932	637	1,174
2010	영등포구	신길4동	1,808	2,234	822	786	484	698	502	750
2010	영등포구	신길5동	2,694	3,345	1,225	1,064	796	1,133	673	1,148
2010	영등포구	신길6동	3,888	4,352	952	812	1,783	1,975	1,153	1,565
2010	영등포구	신길7동	3,522	4,432	619	810	1,200	1,867	1,703	1,755
2010	영등포구	대림1동	2,804	3,361	977	837	994	1,304	833	1,220
2010	영등포구	대림2동	2,893	4,055	604	733	1,252	1,775	1,037	1,547
2010	영등포구	대림3동	4,304	5,242	1,154	945	1,729	2,251	1,421	2,046
2010	영등포구	영등포본동	4,380	4,914	1,327	1,228	1,559	1,863	1,494	1,823
