기간	자치구	동	성별	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)
기간	자치구	동	성별	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	구내이동	구내이동	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동
기간	자치구	동	성별	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	전입(①)	전출(②)	전입(③)	전출(④)	전입(⑤)	전출(⑥)
2005	서대문구	홍제제2동	소계	2,409	2,628	703	670	1,035	1,228	671	730
2005	서대문구	홍제제3동	소계	3,337	3,810	1,022	1,064	1,354	1,583	961	1,163
2005	서대문구	홍제제4동	소계	2,824	2,966	715	658	1,432	1,457	677	851
2005	서대문구	홍은제1동	소계	1,511	1,852	459	529	681	794	371	529
2005	서대문구	홍은제2동	소계	2,491	3,108	581	789	1,130	1,352	780	967
2005	서대문구	홍은제3동	소계	5,299	5,715	1,740	1,586	2,109	2,278	1,450	1,851
2005	서대문구	남가좌제1동	소계	3,710	2,807	1,261	849	1,463	1,004	986	954
2005	서대문구	남가좌제2동	소계	5,242	6,218	1,716	1,968	2,144	2,344	1,382	1,906
2005	서대문구	북가좌제1동	소계	3,423	3,518	1,041	1,027	1,462	1,411	920	1,080
2005	서대문구	북가좌제2동	소계	5,471	5,827	1,540	1,371	2,528	2,557	1,403	1,899
2005	마포구	계	계	84,499	81,467	24,526	24,526	34,959	33,157	25,014	23,784
2005	마포구	아현제1동	소계	2,416	2,483	411	451	1,244	1,251	761	781
2005	마포구	아현제2동	소계	1,612	1,925	401	439	697	939	514	547
2005	마포구	아현제3동	소계	1,417	1,913	368	519	588	850	461	544
2005	마포구	공덕제1동	소계	2,424	2,686	487	568	1,177	1,438	760	680
2005	마포구	공덕제2동	소계	3,523	2,350	968	602	1,646	986	909	762
2005	마포구	신공덕동	소계	2,178	2,369	442	667	1,158	1,103	578	599
2005	마포구	도화제1동	소계	2,017	2,245	576	540	898	1,137	543	568
2005	마포구	도화제2동	소계	3,278	2,758	776	766	1,612	1,259	890	733
2005	마포구	용강동	소계	2,723	2,635	732	757	1,166	1,105	825	773
2005	마포구	대흥동	소계	2,966	3,251	1,044	1,154	925	1,265	997	832
2005	마포구	염리동	소계	4,061	4,294	1,342	1,233	1,476	1,751	1,243	1,310
2005	마포구	노고산동	소계	2,535	2,565	525	673	976	1,074	1,034	818
2005	마포구	신수동	소계	3,547	3,723	1,144	1,251	1,281	1,347	1,122	1,125
2005	마포구	창전동	소계	3,104	2,721	1,011	896	1,096	1,102	997	723
2005	마포구	상수동	소계	3,450	3,258	1,065	1,196	1,232	1,137	1,153	925
2005	마포구	서교동	소계	5,128	5,260	1,708	1,821	1,859	1,911	1,561	1,528
2005	마포구	동교동	소계	4,076	4,079	1,248	1,312	1,348	1,641	1,480	1,126
2005	마포구	합정동	소계	4,575	4,818	1,487	1,625	1,676	1,773	1,412	1,420
2005	마포구	망원제1동	소계	4,628	5,078	1,873	2,128	1,545	1,551	1,210	1,399
2005	마포구	망원제2동	소계	4,174	3,601	1,829	1,300	1,285	1,168	1,060	1,133
