기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	구내이동	구내이동	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	전입(①)	전출(②)	전입(③)	전출(④)	전입(⑤)	전출(⑥)
2016	마포구	신수동	5,107	3,447	1,958	1,017	1,910	1,329	1,239	1,101
2016	마포구	서교동	5,620	6,445	1,409	1,834	2,074	2,547	2,137	2,064
2016	마포구	합정동	4,339	4,096	1,318	1,170	1,572	1,397	1,449	1,529
2016	마포구	망원1동	3,692	4,231	1,558	1,432	1,078	1,473	1,056	1,326
2016	마포구	망원2동	2,978	3,388	1,426	1,124	793	1,181	759	1,083
2016	마포구	연남동	3,173	3,809	829	922	1,141	1,754	1,203	1,133
2016	마포구	성산1동	3,233	3,794	1,388	1,203	947	1,408	898	1,183
2016	마포구	성산2동	5,023	5,354	1,254	945	2,085	2,335	1,684	2,074
2016	마포구	상암동	4,163	4,448	747	499	1,853	2,031	1,563	1,918
2016	마포구	도화동	3,244	3,448	583	739	1,582	1,611	1,079	1,098
2016	마포구	서강동	4,368	4,945	1,214	1,388	1,616	1,941	1,538	1,616
2016	마포구	공덕동	5,884	5,768	1,284	902	2,885	3,010	1,715	1,856
2016	마포구	아현동	4,027	6,909	793	1,328	2,123	3,858	1,111	1,723
2016	양천구	소계	65,385	74,404	24,067	24,067	25,381	26,513	15,937	23,824
2016	양천구	목1동	3,807	4,378	1,221	1,288	1,622	1,845	964	1,245
2016	양천구	목2동	5,002	5,030	1,128	1,065	2,486	2,138	1,388	1,827
2016	양천구	목3동	3,662	3,841	876	838	1,897	1,815	889	1,188
2016	양천구	목4동	3,851	4,038	1,406	1,116	1,552	1,632	893	1,290
2016	양천구	신월1동	3,027	3,596	787	731	1,401	1,476	839	1,389
2016	양천구	신월2동	3,599	3,597	2,018	1,485	868	1,016	713	1,096
2016	양천구	신월3동	2,623	2,880	804	610	982	963	837	1,307
2016	양천구	신월4동	2,696	2,718	1,670	1,150	495	676	531	892
2016	양천구	신월5동	2,277	2,522	469	389	1,247	1,128	561	1,005
2016	양천구	신월6동	975	4,860	497	3,044	222	902	256	914
2016	양천구	신월7동	3,042	3,543	1,490	1,177	799	954	753	1,412
2016	양천구	신정1동	5,282	2,461	2,675	945	1,623	766	984	750
2016	양천구	신정2동	2,470	2,956	837	1,084	1,001	1,034	632	838
2016	양천구	신정3동	6,466	9,158	2,781	3,291	2,335	3,027	1,350	2,840
2016	양천구	신정6동	3,031	3,647	1,198	1,427	1,108	1,175	725	1,045
2016	양천구	신정7동	3,371	4,132	1,135	1,338	1,428	1,580	808	1,214
2016	양천구	목5동	4,416	5,137	872	1,345	2,261	2,294	1,283	1,498
2016	양천구	신정4동	5,788	5,910	2,203	1,744	2,054	2,092	1,531	2,074
2016	강서구	소계	95,852	93,011	33,063	33,063	35,464	24,866	27,325	35,082
2016	강서구	염창동	4,722	6,038	1,233	1,633	2,030	2,125	1,459	2,280
2016	강서구	등촌1동	4,623	4,436	1,542	1,658	1,611	1,131	1,470	1,647
2016	강서구	등촌2동	3,634	3,400	907	977	1,839	1,391	888	1,032
2016	강서구	등촌3동	3,985	4,669	1,239	1,674	1,555	1,370	1,191	1,625
2016	강서구	화곡본동	6,064	6,301	1,945	2,347	2,355	1,539	1,764	2,415
2016	강서구	화곡2동	3,268	3,232	1,206	1,343	1,348	804	714	1,085
2016	강서구	화곡3동	3,374	3,839	1,329	1,537	1,145	1,068	900	1,234
2016	강서구	화곡4동	3,248	3,439	981	1,013	1,553	1,180	714	1,246
