기간	자치구	월별	성별	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	전입(②)	전출(③)	전입(⑤)	전출(⑥)	순이동(전입-전출)
1975	서울특별시	11월	여자	117,546	99,290	81,481	…	…	…	36,065	17,809	18,256
1975	서울특별시	12월	합계	233,133	197,452	163,553	…	…	…	69,580	33,899	35,681
1975	서울특별시	12월	남자	117,020	99,360	81,897	…	…	…	35,123	17,463	17,660
1975	서울특별시	12월	여자	116,113	98,092	81,656	…	…	…	34,457	16,436	18,021
1976	서울특별시	합계	합계	2,756,510	2,495,620	2,041,724	…	…	…	714,786	453,896	260,890
1976	서울특별시	합계	남자	1,429,682	1,314,317	1,059,910	…	…	…	369,772	254,407	115,365
1976	서울특별시	합계	여자	1,326,828	1,181,303	981,814	…	…	…	345,014	199,489	145,525
1976	서울특별시	1월	합계	173,712	145,820	119,758	…	…	…	53,954	26,062	27,892
1976	서울특별시	1월	남자	88,787	75,389	61,244	…	…	…	27,543	14,145	13,398
1976	서울특별시	1월	여자	84,925	70,431	58,514	…	…	…	26,411	11,917	14,494
1976	서울특별시	2월	합계	189,005	168,161	131,116	…	…	…	57,889	37,045	20,844
1976	서울특별시	2월	남자	95,862	86,920	66,941	…	…	…	28,921	19,979	8,942
1976	서울특별시	2월	여자	93,143	81,241	64,175	…	…	…	28,968	17,066	11,902
1976	서울특별시	3월	합계	240,134	209,140	166,461	…	…	…	73,673	42,679	30,994
1976	서울특별시	3월	남자	125,074	110,800	87,379	…	…	…	37,695	23,421	14,274
1976	서울특별시	3월	여자	115,060	98,340	79,082	…	…	…	35,978	19,258	16,720
1976	서울특별시	4월	합계	301,666	266,232	219,339	…	…	…	82,327	46,893	35,434
1976	서울특별시	4월	남자	157,574	141,280	115,183	…	…	…	42,391	26,097	16,294
1976	서울특별시	4월	여자	144,092	124,952	104,156	…	…	…	39,936	20,796	19,140
1976	서울특별시	5월	합계	313,038	279,802	235,359	…	…	…	77,679	44,443	33,236
1976	서울특별시	5월	남자	162,978	147,484	122,582	…	…	…	40,396	24,902	15,494
1976	서울특별시	5월	여자	150,060	132,318	112,777	…	…	…	37,283	19,541	17,742
1976	서울특별시	6월	합계	270,788	247,788	205,267	…	…	…	65,521	42,521	23,000
1976	서울특별시	6월	남자	142,600	132,537	108,606	…	…	…	33,994	23,931	10,063
1976	서울특별시	6월	여자	128,188	115,251	96,661	…	…	…	31,527	18,590	12,937
1976	서울특별시	7월	합계	225,854	205,943	168,471	…	…	…	57,383	37,472	19,911
1976	서울특별시	7월	남자	117,219	108,994	87,353	…	…	…	29,866	21,641	8,225
