,,
지역,시점,매매가격 대비 전세가격(전세지가)
9개도,2017. 05 월,76.00198969
9개도,2017. 06 월,75.99261123
9개도,2017. 07 월,75.92649915
9개도,2017. 08 월,75.84223113
9개도,2017. 09 월,75.83740903
9개도,2017. 10 월,75.83618021
9개도,2017. 11 월,75.8296332
9개도,2017. 12 월,77.34240763
9개도,2018. 01 월,77.26362043
9개도,2018. 02 월,77.06607068
9개도,2018. 03 월,76.89138076
9개도,2018. 04 월,76.72370714
9개도,2018. 05 월,76.579277
9개도,2018. 06 월,76.41591021
9개도,2018. 07 월,76.27424528
9개도,2018. 08 월,76.16480677
9개도,2018. 09 월,75.95929788
9개도,2018. 10 월,75.80876679
9개도,2018. 11 월,75.70476658
9개도,2018. 12 월,75.6252488
9개도,2019. 01 월,74.58554162
9개도,2019. 02 월,74.55349678
9개도,2019. 03 월,74.53001057
9개도,2019. 04 월,74.49983772
9개도,2019. 05 월,74.49257175
9개도,2019. 06 월,74.4731326
9개도,2019. 07 월,74.47470056
9개도,2019. 08 월,74.50131441
9개도,2019. 09 월,74.57800561
9개도,2019. 10 월,74.69372488
9개도,2019. 11 월,74.79529864
9개도,2019. 12 월,74.80542699
8개도,2012. 01 월,69.80082824
8개도,2012. 02 월,69.85967762
8개도,2012. 03 월,69.69211563
8개도,2012. 04 월,69.76026983
8개도,2012. 05 월,69.86730559
8개도,2012. 06 월,69.98147283
8개도,2012. 07 월,70.04376456
8개도,2012. 08 월,70.19689144
8개도,2012. 09 월,70.20992915
8개도,2012. 10 월,70.35672602
8개도,2012. 11 월,70.64496075
8개도,2012. 12 월,70.37896333
8개도,2013. 01 월,70.61814505
8개도,2013. 02 월,70.80761676
8개도,2013. 03 월,71.02434674
8개도,2013. 04 월,71.2196968
8개도,2013. 05 월,71.34359321
8개도,2013. 06 월,71.44647344
8개도,2013. 07 월,71.50440018
8개도,2013. 08 월,71.62860114
8개도,2013. 09 월,71.72621484
8개도,2013. 10 월,71.86670894
8개도,2013. 11 월,71.93059571
8개도,2013. 12 월,71.97944417
8개도,2014. 01 월,72.05333485
8개도,2014. 02 월,72.12072729
8개도,2014. 03 월,72.18488023
8개도,2014. 04 월,72.25542529
8개도,2014. 05 월,72.26813032
8개도,2014. 06 월,72.30970204
8개도,2014. 07 월,72.24062855
8개도,2014. 08 월,72.27499541
8개도,2014. 09 월,72.31515934
8개도,2014. 10 월,72.33941819
8개도,2014. 11 월,72.35858769
8개도,2014. 12 월,72.38567213
8개도,2015. 01 월,72.43165495
8개도,2015. 02 월,72.46523761
8개도,2015. 03 월,72.52791607
8개도,2015. 04 월,72.59729375
8개도,2015. 05 월,72.63530844
8개도,2015. 06 월,72.67551787
8개도,2015. 07 월,73.82612646
8개도,2015. 08 월,73.83681311
8개도,2015. 09 월,73.88039951
8개도,2015. 10 월,73.93232462
8개도,2015. 11 월,73.95559361
8개도,2015. 12 월,74.02027409
8개도,2016. 01 월,74.05401125
8개도,2016. 02 월,74.12972504
8개도,2016. 03 월,74.23879724
8개도,2016. 04 월,74.35650538
8개도,2016. 05 월,74.46237964
8개도,2016. 06 월,74.61964458
8개도,2016. 07 월,74.78665159
8개도,2016. 08 월,74.87771293
8개도,2016. 09 월,74.99804982
8개도,2016. 10 월,75.11676109
8개도,2016. 11 월,75.24154606
8개도,2016. 12 월,75.38979709
8개도,2017. 01 월,75.43273284
8개도,2017. 02 월,75.4930885
8개도,2017. 03 월,75.58220176
