"자치단체코드","상호","휴폐업구분","업태","허가일자"
"3170000","마리오아울렛 3관","영업중","쇼핑센터","20120913"
"3090000","(주)에브리데이리테일 창동점","영업중","구분없음","20120105"
"3000000","종로1번지아케이트","영업중","전문점","20040430"
"3030000","홈플러스(주)익스프레스 성수점","폐업","구분없음","20111004"
"3060000","이노시티","영업중","복합쇼핑몰","20131128"
"3170000","마리오아울렛 1관","영업중","쇼핑센터","20130906"
"3240000","현대프라자","영업중","그밖의 대규모점포","19900528"
"3170000","시흥산업용재유통센터","영업중","그밖의 대규모점포","20170407"
"3020000","신동아쇼핑센터","영업중","쇼핑센터","19851112"
"3220000","삐에로쇼핑 강남논현점","영업중","구분없음","20180803"
"3230000","올림픽프라자상가","영업중","그밖의 대규모점포","19890607"
"3010000","굳앤굳 디자이너월드","영업중","그밖의 대규모점포","19761102"
"3010000","누죤","영업중","그밖의 대규모점포","19960705"
"3090000","(주)에브리데이리테일 창동점","영업중","구분없음","20110926"
"3230000","롯데월드몰","영업중","쇼핑센터","20140717"
"3180000","두암상가","영업중","그밖의 대규모점포","20130902"
"3090000","금강아미움쇼핑센터","영업중","그밖의 대규모점포","20190328"
"3070000","유타쇼핑몰","영업중","쇼핑센터","20120425"
"3010000","(주)지에스리테일 남산타운점","영업중","그밖의 대규모점포","20140110"
"3010000","서울중앙시장","영업중","그밖의 대규모점포","19621102"
"3140000","(주)이마트SSG목동점","영업중","그밖의 대규모점포","20150422"
"3100000","공릉종합상가","영업중","그밖의 대규모점포","19971120"
"3170000","롯데쇼핑(주) 금천 독산점","영업중","쇼핑센터","20180430"
"3220000","도심공항몰(CALT MALL)","영업중","쇼핑센터","20141125"
"3050000","이문동웰츠타워","영업중","그밖의 대규모점포","20090320"
"3010000","상제리제상가","영업중","그밖의 대규모점포","19770623"
"3000000","광장시장","영업중","시장","19550705"
"3170000","롯데캐슬 골드파크 4차 마르쉐도르 960","영업중","그밖의 대규모점포","20190410"
"3210000","하이브랜드","영업중","그밖의 대규모점포","20050228"
