,종가,거래량,거래대금,변동 %
2019년 01월 17일,"2,107.06",475.88M,1002707.713K,0.05%
2019년 01월 16일,"2,106.10",500.08M,1053218.488K,0.43%
2019년 01월 15일,"2,097.18",439.49M,921689.6382K,1.58%
2019년 01월 14일,"2,064.52",432.89M,893710.0628K,-0.53%
2019년 01월 11일,"2,075.57",380.06M,788841.1342K,0.60%
2019년 01월 10일,"2,063.28",382.88M,789988.6464K,-0.07%
2019년 01월 09일,"2,064.71",386.25M,797494.2375K,1.95%
2019년 01월 08일,"2,025.27",397.83M,805713.1641K,-0.58%
2019년 01월 07일,"2,037.10",440.19M,896711.049K,1.34%
2019년 01월 04일,"2,010.25",408.99M,822172.1475K,0.83%
2019년 01월 03일,"1,993.70",427.98M,853263.726K,-0.81%
2019년 01월 02일,"2,010.00",326.37M,656003.7K,-1.52%
2018년 12월 28일,"2,041.04",352.68M,719833.9872K,0.62%
2018년 12월 27일,"2,028.44",398.02M,807359.6888K,0.02%
2018년 12월 26일,"2,028.01",321.50M,652005.215K,-1.31%
2018년 12월 24일,"2,055.01",285.28M,586253.2528K,-0.31%
2018년 12월 21일,"2,061.49",311.39M,641927.3711K,0.07%
2018년 12월 20일,"2,060.12",421.06M,867434.1272K,-0.90%
2018년 12월 19일,"2,078.84",418.80M,870618.192K,0.81%
2018년 12월 18일,"2,062.11",429.53M,885738.1083K,-0.43%
2018년 12월 17일,"2,071.09",444.52M,920640.9268K,0.08%
2018년 12월 14일,"2,069.38",448.24M,927578.8912K,-1.25%
2018년 12월 13일,"2,095.55",379.82M,795931.801K,0.62%
2018년 12월 12일,"2,082.57",457.13M,952005.2241K,1.44%
2018년 12월 11일,"2,052.97",273.93M,562370.0721K,-0.04%
2018년 12월 10일,"2,053.79",344.16M,706832.3664K,-1.06%
2018년 12월 07일,"2,075.76",371.59M,771331.6584K,0.34%
2018년 12월 06일,"2,068.69",537.41M,1111734.693K,-1.55%
2018년 12월 05일,"2,101.31",492.72M,1035357.463K,-0.62%
2018년 12월 04일,"2,114.35",507.52M,1073074.912K,-0.82%
2018년 12월 03일,"2,131.93",436.59M,930779.3187K,1.67%
2018년 11월 30일,"2,096.86",427.35M,896093.121K,-0.82%
2018년 11월 29일,"2,114.10",307.23M,649514.943K,0.28%
2018년 11월 28일,"2,108.22",300.08M,632634.6576K,0.42%
2018년 11월 27일,"2,099.42",239.21M,502202.2582K,0.79%
2018년 11월 26일,"2,083.02",237.71M,495154.6842K,1.24%
2018년 11월 23일,"2,057.48",227.20M,467459.456K,-0.60%
2018년 11월 22일,"2,069.95",242.50M,501962.875K,-0.32%
2018년 11월 21일,"2,076.55",267.90M,556307.745K,-0.29%
2018년 11월 20일,"2,082.58",281.68M,586621.1344K,-0.86%
2018년 11월 19일,"2,100.56",273.20M,573872.992K,0.39%
2018년 11월 16일,"2,092.40",301.60M,631067.84K,0.21%
2018년 11월 15일,"2,088.06",351.04M,732992.5824K,0.97%
2018년 11월 14일,"2,068.05",339.05M,701172.3525K,-0.15%
2018년 11월 13일,"2,071.23",383.42M,794151.0066K,-0.44%
2018년 11월 12일,"2,080.44",295.53M,614832.4332K,-0.27%
2018년 11월 09일,"2,086.09",298.07M,621800.8463K,-0.31%
2018년 11월 08일,"2,092.63",328.03M,686445.4189K,0.67%
2018년 11월 07일,"2,078.69",485.22M,1008621.962K,-0.52%
2018년 11월 06일,"2,089.62",315.82M,659943.7884K,0.61%
2018년 11월 05일,"2,076.92",361.30M,750391.196K,-0.91%
2018년 11월 02일,"2,096.00",371.98M,779670.08K,3.53%
2018년 11월 01일,"2,024.46",343.81M,696029.5926K,-0.26%
