기간	자치구	월별	성별	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	전입(②)	전출(③)	전입(⑤)	전출(⑥)	순이동(전입-전출)
1995	종로구	5월	남자	2,444	3,156	1,774	717	1,057	1,590	670	849	-712
1995	종로구	5월	여자	2,421	3,050	1,770	675	1,095	1,587	651	788	-629
1995	종로구	6월	합계	2,925	4,026	2,112	802	1,310	2,171	813	1,053	-1,101
1995	종로구	6월	남자	1,429	1,999	1,025	381	644	1,075	404	543	-570
1995	종로구	6월	여자	1,496	2,027	1,087	421	666	1,096	409	510	-531
1995	종로구	7월	합계	2,597	3,787	1,906	639	1,267	2,183	691	965	-1,190
1995	종로구	7월	남자	1,334	1,886	965	334	631	1,081	369	471	-552
1995	종로구	7월	여자	1,263	1,901	941	305	636	1,102	322	494	-638
1995	종로구	8월	합계	2,734	3,544	1,917	596	1,321	1,893	817	1,055	-810
1995	종로구	8월	남자	1,395	1,803	976	308	668	940	419	555	-408
1995	종로구	8월	여자	1,339	1,741	941	288	653	953	398	500	-402
1995	종로구	9월	합계	2,697	3,534	1,965	663	1,302	1,897	732	974	-837
