기간	자치구	월별	성별	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	전입(②)	전출(③)	전입(⑤)	전출(⑥)	순이동(전입-전출)
2005	성동구	2월	합계	5,111	4,771	3,332	1,027	2,305	2,182	1,779	1,562	340
2005	성동구	2월	남자	2,539	2,360	1,629	478	1,151	1,056	910	826	179
2005	성동구	2월	여자	2,572	2,411	1,703	549	1,154	1,126	869	736	161
2005	성동구	3월	합계	6,231	6,383	4,461	1,662	2,799	2,927	1,770	1,794	-152
2005	성동구	3월	남자	3,094	3,219	2,167	775	1,392	1,484	927	960	-125
2005	성동구	3월	여자	3,137	3,164	2,294	887	1,407	1,443	843	834	-27
2005	성동구	4월	합계	5,694	6,055	4,185	1,698	2,487	2,657	1,509	1,700	-361
2005	성동구	4월	남자	2,857	3,078	2,090	829	1,261	1,365	767	884	-221
2005	성동구	4월	여자	2,837	2,977	2,095	869	1,226	1,292	742	816	-140
2005	성동구	5월	합계	5,378	6,094	3,933	1,536	2,397	2,842	1,445	1,716	-716
2005	성동구	5월	남자	2,698	3,088	1,939	759	1,180	1,465	759	864	-390
2005	성동구	5월	여자	2,680	3,006	1,994	777	1,217	1,377	686	852	-326
2005	성동구	6월	합계	5,271	5,501	3,980	1,440	2,540	2,500	1,291	1,561	-230
2005	성동구	6월	남자	2,621	2,808	1,976	720	1,256	1,289	645	799	-187
2005	성동구	6월	여자	2,650	2,693	2,004	720	1,284	1,211	646	762	-43
2005	성동구	7월	합계	4,326	4,628	3,149	1,121	2,028	2,131	1,177	1,376	-302
2005	성동구	7월	남자	2,163	2,320	1,581	554	1,027	1,058	582	708	-157
2005	성동구	7월	여자	2,163	2,308	1,568	567	1,001	1,073	595	668	-145
2005	성동구	8월	합계	5,734	5,885	4,107	1,501	2,606	2,642	1,627	1,742	-151
2005	성동구	8월	남자	2,808	2,920	2,000	737	1,263	1,299	808	884	-112
2005	성동구	8월	여자	2,926	2,965	2,107	764	1,343	1,343	819	858	-39
2005	성동구	9월	합계	4,868	5,308	3,451	1,429	2,022	2,328	1,417	1,551	-440
2005	성동구	9월	남자	2,474	2,726	1,738	701	1,037	1,195	736	830	-252
2005	성동구	9월	여자	2,394	2,582	1,713	728	985	1,133	681	721	-188
2005	성동구	10월	합계	5,105	5,654	3,666	1,414	2,252	2,702	1,439	1,538	-549
2005	성동구	10월	남자	2,528	2,903	1,791	688	1,103	1,398	737	817	-375
2005	성동구	10월	여자	2,577	2,751	1,875	726	1,149	1,304	702	721	-174
2005	성동구	11월	합계	5,240	5,618	3,844	1,438	2,406	2,593	1,396	1,587	-378
2005	성동구	11월	남자	2,610	2,832	1,918	710	1,208	1,307	692	815	-222
2005	성동구	11월	여자	2,630	2,786	1,926	728	1,198	1,286	704	772	-156
2005	성동구	12월	합계	4,776	5,368	3,454	1,262	2,192	2,456	1,322	1,650	-592
2005	성동구	12월	남자	2,317	2,645	1,667	603	1,064	1,183	650	859	-328
2005	성동구	12월	여자	2,459	2,723	1,787	659	1,128	1,273	672	791	-264
2005	광진구	합계	합계	70,132	77,036	47,806	20,416	27,390	31,738	22,326	24,882	-6,904
