,종가,오픈,고가,저가,거래량,변동 %,거래대금
2011년 12월 20일,"1,793.06","1,791.62","1,797.59","1,780.10",389.77M,0.91%,698880.9962K
2011년 12월 19일,"1,776.93","1,829.49","1,829.49","1,750.60",684.31M,-3.43%,1215970.968K
2011년 12월 16일,"1,839.96","1,827.83","1,842.94","1,823.68",489.95M,1.15%,901488.402K
2011년 12월 15일,"1,819.11","1,834.82","1,840.94","1,817.61",409.62M,-2.08%,745143.8382K
2011년 12월 14일,"1,857.75","1,852.20","1,864.79","1,851.89",401.93M,-0.34%,746685.4575K
2011년 12월 13일,"1,864.06","1,877.40","1,880.40","1,863.77",450.08M,-1.88%,838976.1248K
2011년 12월 12일,"1,899.76","1,902.75","1,903.19","1,890.18",409.62M,1.33%,778179.6912K
2011년 12월 09일,"1,874.75","1,883.86","1,894.59","1,872.67",372.81M,-1.97%,698925.5475K
2011년 12월 08일,"1,912.39","1,911.07","1,925.56","1,898.34",426.92M,-0.37%,816437.5388K
2011년 12월 07일,"1,919.42","1,914.50","1,921.52","1,904.52",402.80M,0.87%,773142.376K
2011년 12월 06일,"1,902.82","1,914.49","1,920.70","1,892.01",383.43M,-1.04%,729598.2726K
2011년 12월 05일,"1,922.90","1,928.46","1,929.18","1,911.61",330.24M,0.36%,635018.496K
2011년 12월 02일,"1,916.04","1,914.41","1,920.64","1,905.69",389.33M,-0.01%,745971.8532K
2011년 12월 01일,"1,916.18","1,911.50","1,926.33","1,908.33",500.46M,3.72%,958971.4428K
2011년 11월 30일,"1,847.51","1,847.17","1,858.10","1,838.70",334.55M,-0.49%,618084.4705K
2011년 11월 29일,"1,856.52","1,828.30","1,856.76","1,823.93",329.52M,2.27%,611760.4704K
2011년 11월 28일,"1,815.28","1,804.80","1,816.65","1,795.39",277.68M,2.19%,504066.9504K
2011년 11월 25일,"1,776.40","1,780.06","1,790.81","1,766.73",306.41M,-1.04%,544306.724K
2011년 11월 24일,"1,795.06","1,775.82","1,800.01","1,769.43",280.37M,0.67%,503280.9722K
2011년 11월 23일,"1,783.10","1,820.86","1,820.86","1,780.24",411.24M,-2.36%,733282.044K
2011년 11월 22일,"1,826.28","1,798.41","1,830.84","1,797.93",271.10M,0.34%,495104.508K
2011년 11월 21일,"1,820.03","1,833.90","1,833.90","1,811.69",299.74M,-1.04%,545535.7922K
2011년 11월 18일,"1,839.17","1,839.63","1,850.04","1,832.17",337.05M,-2.00%,619892.2485K
